name,state,chamber,party,lid_tw,total_posts_tw,total_likes_tw,total_retweets_tw,total_misinfo_count_tw,total_interactions_tw,interaction_score_tw,overperforming_score_tw,civility_score_tw
A. Shane Massey,SC,S,R,18807641,442,2594,194483,0,197077,0.9868376319915566,1.279716982240995,1.0
Aaron Bean,FL,S,R,24317646,254,3138,260149,0,263287,0.9880814472419832,1.2813299441378057,1.0
Aaron Bernstine,PA,H,R,58249186,2491,4873,2763669,2,2768542,0.9982398677715564,1.2945032391592015,1.0
Aaron Freeman,IN,S,R,314307229,63,350,6217,0,6567,0.9467032130348714,1.2276712395106608,1.0
Aaron Michlewitz,MA,H,D,160246973,358,11298,3131,0,14429,0.2169935546468916,0.2813941502798736,1.0
Aaron Vega,MA,H,D,158814186,140,63,55672,0,55735,0.9988696510271822,1.295319933112926,1.0
Abdullah Hammoud,MI,H,D,4483083621,1300,66380,10535376,0,10601756,0.99373877308627,1.288666283695909,1.0
Abe M. Hudson Jr.,MS,H,D,52749348,6014,1992,4309729,1,4311721,0.9995380035025456,1.2961866430813325,1.0
Abel Herrero,TX,H,D,3192526506,376,780,8842,0,9622,0.918935772188734,1.1916628178086417,1.0
Adam Bird,OH,,R,227410392,495,583,905762,3,906345,0.9993567570847746,1.2959516053088835,1.0
Adam Bowling,KY,H,R,936271059975856000,0,0,0,0,0,0.0,0.0,0.0
Adam Ebbin,VA,S,D,18112393,841,11546,655811,0,667357,0.9826989152732346,1.2743499533626652,1.0
Adam G. Hinds,MA,S,D,392077251,2611,9248,1668507,0,1677755,0.9944878721863444,1.289637704736888,1.0
Adam Gomez,MA,S,D,320886971,40,8,99192,0,99200,0.9999193548387096,1.29668117406117,1.0
Adam Gray,CA,H,D,2426056399,109,367,5570,0,5937,0.9381842681488968,1.216623993147188,1.0
Adam Hattersley,FL,H,D,2155248452,1125,11101,108442,0,119543,0.907138017282484,1.1763636573222542,1.0
Adam Hollier,MI,S,D,255596322,2106,14030,5666007,0,5680037,0.9975299456676074,1.293582622288665,1.0
Adam Koenig,KY,H,R,92629688,768,6238,176291,0,182529,0.9658246086923172,1.2524675929873714,1.0
Adam Morfeld,NE,S,D,20924358,6164,466573,6593751,0,7060324,0.9339162055452412,1.2110892303674765,1.0
Adam Morgan,SC,H,R,460766115,18,91,7671,0,7762,0.9882762174697244,1.2815825193943575,1.0
Adam Neylon,WI,H,R,159004039,18,24,23,0,47,0.4893617021276595,0.634597283655761,1.0
Adam Niemerg,IL,H,R,1179906978631634688,0,0,0,0,0,0.0,0.0,0.0
